MSSV,T1,T2,T3,T4,T5,T6,GT,DT,KV,NGONNGU,TOANLOGICPHANTICH,GIAIQUYETVANDE,KT,NGAYTHI,DINHHUONGNGHENGHIEP
SV001,7.2,8.4,7.4,7.2,7.4,6.9,F,,2NT,3.25,3.25,4.5,A1,12/7/2018,No
SV002,5.4,6.3,4.3,4.9,3,4,M,,1,6,4,3.5,C,12/7/2018,Yes
SV003,5.6,5,2.8,6.1,4.8,5.7,M,,1,5,6.75,4,C,12/7/2018,No
SV004,6.6,5.1,5.9,4.1,6.1,7.4,M,,1,4.25,4.25,5.25,D1,12/7/2018,No
SV005,6,5.4,7.6,4.4,6.8,8,M,,2NT,4.25,4.5,5,A,12/7/2018,No
SV006,9.3,9.6,7.1,8.5,8.5,7.8,M,,1,1.5,4,6,D1,12/7/2018,No
SV007,2.8,4.4,4.6,4.7,5.4,5.3,F,,2,6.5,6.75,5.25,C,12/7/2018,Yes
SV008,8.3,6.7,8.6,8.3,8.5,8.3,F,,2,3.75,4.5,4.25,D1,12/7/2018,Yes
SV009,6.5,7.3,6.4,8.1,7.7,7.7,F,,1,3.5,3.5,6.75,D1,12/7/2018,Yes
SV0010,7.3,8,6.5,5.5,7.5,6.9,F,,1,4,4.75,5.5,D1,12/7/2018,Yes
SV0011,5.2,6.3,7.8,7.6,6.2,7.3,F,,2,3,4,5.5,D1,12/7/2018,No
SV0012,7.9,8.2,8.1,6.9,8,8.1,M,,2,6.75,6.5,4.25,D1,12/7/2018,Yes
SV0013,7.3,5.8,8.5,7.6,9.3,8.3,F,,1,2,4.5,5,D1,12/7/2018,No
SV0014,4.9,4.5,4.5,4.6,6.5,6.9,F,,1,2.5,2.75,5.5,D1,12/7/2018,No
SV0015,7.1,8.3,8.6,8.3,8.6,8.5,F,,2NT,3.5,4.5,6.5,A,12/7/2018,No
SV0016,2.5,6.2,6.5,7.3,3.4,5.3,M,,1,3.75,3,6.5,D1,12/7/2018,Yes
SV0017,8.8,7.3,7.5,7.7,7.4,7.5,F,,1,3.5,4,3.5,A,12/7/2018,Yes
SV0018,5.4,4.8,5.5,5.5,7.5,7.3,M,,1,4.25,4.5,5,A,12/7/2018,Yes
SV0019,5.6,5.5,4.8,6.1,6.6,8.5,M,,1,3.25,4.75,3.5,A,12/7/2018,No
SV0020,8.2,6.4,6.1,5.8,7.1,8.9,F,,2,3.5,4,4,A,12/7/2018,Yes
SV0021,3.9,5.6,6.3,6.9,9.3,8.4,M,,1,2.75,5,4.25,A,6/13/2019,No
SV0022,5,5.8,6,6.6,6.8,5.5,F,,1,3.5,3,4.5,D1,6/13/2019,No
SV0023,5,5.5,2.3,4.1,3.4,4.1,F,,2,5,3.5,6,C,6/13/2019,No
SV0024,5.3,6.4,6.1,5,5.3,6.1,M,,2NT,6.75,5.25,5,C,6/13/2019,No
SV0025,2.4,3.3,3.9,3.3,4.4,3.8,F,,1,7,2.25,5.25,C,6/13/2019,Yes
SV0026,3.6,4.2,4.2,4.8,5.8,3.7,F,,1,4.75,2,5.5,C,6/13/2019,No
SV0027,4.9,5.9,4.9,6,6.1,6.8,F,,1,5.25,4.5,4.75,C,6/13/2019,No
SV0028,8.1,4.4,5,2.9,5.8,5.6,F,,2NT,5.25,5,3.5,C,6/13/2019,Yes
SV0029,6.3,8.1,5.7,7.3,8.3,8.4,M,,2NT,3.25,5.25,3.75,A,6/13/2019,No
SV0030,4.5,5.5,6.8,5.6,5.3,6.1,M,,1,2.75,3.75,5,D1,6/13/2019,No
SV0031,7.6,7.7,7.5,5.5,6.5,6.5,F,,1,5,3.5,5.5,D1,6/13/2019,Yes
SV0032,2.6,3.8,5.9,6.8,6.3,8,M,,1,4.5,4.75,5.5,A,6/13/2019,Yes
SV0033,6,6,6.8,5.4,6.7,6.7,F,,2,4.5,4.5,4.75,D1,6/13/2019,No
SV0034,6.4,4.5,8,8.5,7.7,6,M,,1,2.25,4,4.25,A,6/13/2019,Yes
SV0035,4.7,6.2,4.3,5.3,6.4,7,M,,2NT,2.5,4.5,4.5,A,6/13/2019,No
SV0036,6.5,5.3,6.1,5.7,7.1,6.9,M,,2,2.5,5,5,A,6/13/2019,No
SV0037,7.3,7.5,8,7.7,7.8,8.1,M,,1,4.25,3.5,2.75,A,6/13/2019,Yes
SV0038,3.4,4.4,5.8,3,3.2,3.7,M,,2,2.25,5.25,4.5,A,6/13/2019,No
SV0039,4.4,4.4,5.1,5.6,5.8,5.8,M,,1,2,3,5.25,A,6/13/2019,No
SV0040,4.3,5.3,7.3,7.7,7.4,7.1,M,,1,2.75,4,4,A1,6/13/2019,No
SV0041,5.3,7.5,7.8,8.5,6.8,7.5,F,,2,5,3.75,5.75,D1,8/15/2020,Yes
SV0042,8.3,8.2,7.8,7.7,8.8,8.5,F,,2,4,4.5,5.75,A,8/15/2020,No
SV0043,7,7.2,7,6.5,4,5.5,F,,1,5.75,3.5,4.25,D1,8/15/2020,Yes
SV0044,6.6,6.3,6.7,6,5.8,6,F,1,2,1.25,3.5,5,D1,8/15/2020,Yes
SV0045,6.1,8.8,8.4,6.6,7.8,7.8,F,,2NT,3.75,4,4,A,8/15/2020,Yes
SV0046,6.9,5.4,5.3,5.3,7.2,7.1,F,,2,2,4.5,5,A,8/15/2020,No
SV0047,6.7,6.6,7.6,7.4,6.1,6.5,F,,1,5.25,2.25,5.25,D1,8/15/2020,Yes
SV0048,7.9,7.3,7.8,9.4,8.6,8.1,M,,2,4.75,6.5,8,A,8/15/2020,No
SV0049,7.9,8.1,7.8,5.8,7.3,7.9,F,,2,5,4,6.75,D1,8/15/2020,No
SV0050,8.2,8.5,6.7,6.8,7.5,7.6,F,,2NT,3.25,4.5,4,A1,8/15/2020,Yes
SV0051,5.5,6.2,7.3,7.9,7.1,7.7,F,,1,2,5.25,3.5,A,8/15/2020,No
SV0052,6,7.3,7.4,8.1,7.7,6.5,F,,1,2.5,3.25,5,A,8/15/2020,Yes
SV0053,5.3,8,6.8,6.6,7.4,5.9,F,,2NT,3.75,3.5,4.5,D1,8/15/2020,No
SV0054,4.9,6.1,2.5,6.2,4.9,6.5,M,,1,1,5.5,4.25,A,8/15/2020,No
SV0055,5.3,5.1,6.4,5.6,6.5,6.5,F,,2,4.5,3.75,4.5,D1,8/15/2020,No
SV0056,7.9,8.4,8.5,8.4,9.5,9.5,F,,2NT,4.25,4.75,3.25,A1,8/15/2020,No
SV0057,6.3,7,5.5,6.3,8.5,8.7,F,,1,6,5.5,5,A,8/15/2020,No
SV0058,7.2,7.3,7.5,7.6,7.8,6.4,F,,1,2,5.5,5,A1,8/15/2020,Yes
SV0059,6.5,8.3,8.3,7.1,5.8,7.9,M,,2NT,2.25,5.25,6,A,8/15/2020,Yes
SV0060,3.6,3.5,4.2,3.2,4.4,4.9,M,1,1,3,4,4,D1,8/15/2020,No
SV0061,6.2,5,6.7,6.6,7.2,7.6,M,,1,2.5,3.5,6.5,A,10/7/2021,Yes
SV0062,7.2,8.4,7.3,6.5,7.9,8.9,F,,1,3.5,3.5,4.25,A,10/7/2021,Yes
SV0063,6.4,5.9,6.5,7.6,6.8,7.5,M,,1,4.25,2.75,3.25,A,10/7/2021,No
SV0064,7.5,7.6,6.8,6.8,8,6.6,M,,1,2.25,3.5,5,A,10/7/2021,No
SV0065,7.1,6.9,8.1,7.2,6.9,7.4,M,6,2,4.25,3.75,6,A,10/7/2021,No
SV0066,3,3.5,3.8,5.5,5,5.1,M,,1,2,3.75,4.75,A,10/7/2021,No
SV0067,5.1,5.3,4.7,5.6,6.2,5.9,M,,2NT,4,4.5,3.25,A,10/7/2021,Yes
SV0068,4.6,7.2,7.6,6.2,8,7.2,M,,1,4.5,4.5,5.5,B,10/7/2021,No
SV0069,7.3,8.1,8.2,7.9,8.4,8.1,M,,1,3.75,6,4.5,B,10/7/2021,Yes
SV0070,6,6.2,5.1,5.1,3.5,5.6,M,,1,2.25,3.75,6.25,B,10/7/2021,Yes
SV0071,5.8,7.6,6.6,5.3,6.5,8.2,F,,2,2.25,4.5,7.25,A,10/7/2021,No
SV0072,3,4.8,4.7,5,6.8,9,F,,1,3.5,4.75,3.5,B,10/7/2021,Yes
SV0073,5.5,6,4.6,5.2,5.2,6.1,M,,1,1.5,4.5,5.5,A,10/7/2021,No
SV0074,5.2,5.5,4.7,4.3,4.7,5.7,F,,1,2,4.5,3.75,A,10/7/2021,Yes
SV0075,4.2,5.5,5.1,6.4,8,8.5,F,,1,5.25,3.5,4.5,A,10/7/2021,No
SV0076,5.5,6,2.9,4.2,5.5,4,M,,1,4.75,3.5,3.25,A,10/7/2021,No
SV0077,5.4,6,6.9,6.9,6.7,7.5,F,,2NT,3.25,4,3.5,A,10/7/2021,Yes
SV0078,5.2,6.8,6.5,5.8,6.4,7.8,M,,1,3.25,4,4,B,10/7/2021,No
SV0079,5.3,5.2,5,3.5,5.2,5.2,M,,1,3.5,4.5,4.25,B,10/7/2021,No
SV0080,4.8,5.1,5.7,5,6.7,6.6,F,,2NT,2,3.5,5.5,A1,10/7/2021,No
SV0081,8.2,9.2,9.3,8.1,8.7,9.3,F,,2NT,4.5,3.5,4.75,A,7/20/2022,Yes
SV0082,5.7,3.9,5.7,4.6,6.8,7.3,M,,1,2.5,4.5,4.25,A,7/20/2022,No
SV0083,5.1,5,7.4,6,6.8,7.3,F,,1,3.25,6,4.25,B,7/20/2022,No
SV0084,5.9,7.4,5.5,7,5.5,8.2,F,,1,1.75,4.75,6,B,7/20/2022,Yes
SV0085,8.4,9.3,7.4,7.7,8.2,8.6,M,,1,6.5,4.5,8,A,7/20/2022,Yes
SV0086,7.2,7.9,7.3,8.4,7.8,6.9,F,,2NT,3.75,5.75,4.75,B,7/20/2022,Yes
SV0087,6.3,6.3,5.2,6.1,6,5.7,M,,2NT,2,4.75,6.5,A,7/20/2022,No
SV0088,7.3,5.9,7.1,7.7,7.9,6.6,M,,1,1.75,4,4.5,A,7/20/2022,No
SV0089,5.2,6.5,7.4,7.4,5.4,6.6,M,,1,3.75,4,3.5,A,7/20/2022,Yes
SV0090,5.7,5.6,4.7,5.1,5.6,7.2,M,,1,2,5.5,5.5,A,7/20/2022,Yes
SV0091,8.1,8.8,9.2,8.8,8.9,8.5,M,,2,6.25,4,6.5,A,7/20/2022,Yes
SV0092,7.8,8.9,8.5,7.8,8.6,9.4,M,,2NT,4.75,4.75,4.5,A,7/20/2022,No
SV0093,5,6.8,7.2,6.1,8,7.5,M,,1,3.25,5.25,4.25,A,7/20/2022,Yes
SV0094,5.2,6.8,6.7,6.6,7.3,7.3,M,,1,3.5,4.25,5,A,7/20/2022,Yes
SV0095,5.8,6.4,7.3,7.1,7.3,6.7,M,,1,4.25,2.5,4.75,A,7/20/2022,No
SV0096,8.6,8.9,7.7,6.7,7.9,6.6,F,,1,5.25,1.5,6.25,C,7/20/2022,Yes
SV0097,3.7,4.1,3.1,3.4,5.5,5.7,F,,1,5.25,3.75,4.75,C,7/20/2022,No
SV0098,8.8,9.5,9.5,8.5,9,8.5,M,,2NT,7,8,4,C,7/20/2022,Yes
SV0099,2.7,2.8,6.2,5.2,4.1,4.3,M,,1,5,3.5,5.5,C,7/20/2022,No
SV00100,4.1,4.4,6,4.3,5.6,5.1,M,,2NT,5.25,2.5,4.25,C,7/20/2022,Yes
